0,0,0
0.74942,0.76931,0.019892
0.75328,0.73677,-0.016516
0.6863,0.69816,0.011866
0.71505,0.7342,0.019146
0.78778,0.78546,-0.0023266
0.68377,0.71349,0.029727
0.75209,0.76954,0.017453
0.74917,0.77744,0.028273
0.73715,0.7203,-0.016846
0.77687,0.77095,-0.0059161
0.72221,0.74626,0.024049
0.76277,0.7416,-0.021174
0.69737,0.75372,0.056348
0.77286,0.78344,0.010575
0.79655,0.79813,0.0015798
0.71463,0.72815,0.013515
0.74624,0.76413,0.017891
0.78001,0.77807,-0.0019463
0.73573,0.73514,-0.00059055
0.74921,0.71516,-0.034042
0.73248,0.75571,0.023226
0.74359,0.72942,-0.014175
0.72279,0.69897,-0.023819
0.74124,0.71259,-0.028651
0.71674,0.69019,-0.026542
0.70924,0.73077,0.021523
0.76146,0.75646,-0.0049952
0.73636,0.71462,-0.02174
0.72214,0.7185,-0.0036415
0.75924,0.7056,-0.053634
0.81089,0.78934,-0.021551
0.77734,0.73774,-0.039599
0.77369,0.77455,0.0008613
0.78927,0.78417,-0.0051026
0.79672,0.77074,-0.025983
0.75274,0.76433,0.011588
0.78616,0.77072,-0.015439
0.79252,0.74623,-0.046285
0.78333,0.76287,-0.02046
0.82024,0.80272,-0.017521
0.71147,0.73992,0.028457
0.72336,0.71286,-0.010499
0.69534,0.73624,0.040895
0.652,0.74251,0.090508
0.71446,0.75661,0.042147
0.6787,0.73832,0.059621
0.67297,0.73269,0.059716
0.7317,0.7655,0.033797
0.66073,0.71159,0.050861
0.76702,0.79361,0.026591
0.72135,0.73899,0.017638
0.71932,0.73564,0.016323
0.67657,0.72562,0.049043
0.68798,0.75223,0.06425
0.77171,0.79471,0.023004
0.71168,0.75462,0.042943
0.76064,0.77882,0.01818
0.76014,0.78292,0.022781
0.73858,0.7528,0.014216
0.79057,0.79894,0.008363
0.71834,0.74944,0.031103
0.72287,0.71685,-0.0060234
0.69103,0.73136,0.040323
0.63279,0.68466,0.051863
0.74172,0.75628,0.014555
0.7124,0.71582,0.0034161
0.69841,0.69459,-0.0038237
0.67878,0.71427,0.035492
0.7071,0.74037,0.033271
0.71336,0.73009,0.016735
0.73566,0.77668,0.041023
0.69862,0.70979,0.011166
0.61572,0.70156,0.085844
0.67212,0.76327,0.091144
0.68889,0.76179,0.072897
0.67553,0.75341,0.077874
0.71399,0.74524,0.03125
0.70623,0.76876,0.062526
0.69204,0.7608,0.068762
0.77607,0.80034,0.024263
